,ROR,p_value,95CI_lower,95CI_upper,a,b,c,d
86-95,1.6790123456790123,0.5203130979028572,0.34586632930203215,8.150786064175506,4,27,3,34
76-85,1.7907058001397624,0.03801846688854594,1.0327322644914096,3.104993784844478,41,106,27,125
66-75,1.9270562770562771,0.00010806381709143081,1.3825284249572394,2.6860539196920006,116,231,80,307
56-65,1.9451139145170402,5.850977453363038e-07,1.498275297287549,2.525215591084848,213,470,113,485
46-55,1.7388771435283064,4.71502632830679e-06,1.3720905708104463,2.20371292144306,304,660,129,487
36-45,0.9919767325243205,0.9427435905924743,0.7962140352617963,1.2358710023820179,314,826,169,441
26-35,1.3747221340107971,0.012209168734590584,1.0718094778164906,1.7632433607409956,234,517,134,407
19-25,1.0345864661654136,0.8472630733811823,0.7319879879001182,1.462276941242228,80,190,105,258
<18,1.4054754440961337,0.07177187999875285,0.9703164354334325,2.035790750132813,46,87,550,1462
